SINNO ID,use_sectors,Innovation name in Swedish,Description in Swedish,Additional Info,innovation_type,bioeconomy_vision,notes
7415001,2,MB25,"Markberedningsaggregat som monteras bak på en större skonare. Armarna är ledade endast i höjdled. I sidled förflyttas vardera armen längs en bom, då rivhjulstallriken utsätts för sidokrafter. Aggregatet är tänkt att vara en grundenhet för vidare påbyggning av utrustning som för ihop mineraljordtill en hög på skogsodlingsstället samt av aggregat för sådd och/eller plantsättning.",Automatiserar arbete.,"601, 0",2,check article
7416001,2,Timber,Skyddsstövel för arbete i skogen. Benskyddet utgörs av ett flerskiktigt lager nyloncord som är ett effektivt skydd mot sågskador. Skyddet sträcker sig från stålhättan till ca 20 cm upp på benet. ,Effektivt skydd.,501,0,
7419001,2,Donaren,Markberedningsaggregat som monteras bak på en större skonare. Armarna är ledade i sid- och höjdled i infästningspunkten på dragaren. ,Automatiserar arbete.,601,2,check article
7420001,2,Bräcke högläggare,"Högläggaren ansluts till Bräckeaggregatet (en fläckmarkberedare där två rivhjul flår av hummustäcket). Bakom varje rivhjul på Bräckeaggregatet har man kopplat till en skopa, som i den uppkomna markberedningsfläcken för ihop mineraljord till en hög. Högläggaren arbetar synkront med rivhjulet på så sätt att skopan går ned i fläckens bakre del, tar upp mineraljord och för ihop den till en hög i fläckens framkant. ",Automatiserar arbete.,601,2,"check article, what about innovationwhich improves mineral content of soil"
7421001,2,ÖSA 655,"Markberedningsaggregat som ska anslutas till ÖSA:s skotare 260. Denna skotare är utrustad med en hydrostatisk växellåda. Genom att skotaren automatiskt avpassar kraftuttaget vid varierande belastning, ökas möjligheterna att hålla en jämn hastighet vid gång i terräng. Aggregatet består av två hydrauliskt arbetande pendelarmar, som är fästade i dragarens bakända. Varje pendelarm är försett med tre stycken ledade markberedningsbillar, som var och en separat ger efter för överbelastningar utan att de två övriga påverkas. 655 är ett fläckmarkberedningsaggregat. Föraren kan från förarhytten reglera fläcklängd, avstånd mellan fläckarna samt belastning på markberedningsorganen. ",Automatiserar arbete.,601,2,check article
7426001,2,,Bärgningsdrag av härdad polyester klätt med polyesterväv och med läderklädda dragöglor och en skjutbar läderskoning på mitten. Den senare för att kunna koppla V-drag med fördubblad dragkraft. ,"Drar bättre, skyddar bättre.Utvecklad på uppdrag.","601, 0",0,check article
7428001,2,,"Mikrodatorstyrt apteringssystem för användning i de egna processorerna och skördarna. Genom mikrodatorn kommer 19 olika funktioner att styras, bl a matning av trädet fram och back, automatisk backning vid fastkörning, kapning och toppklippning., sortering av masasved repspektive timmer samt räkning av antalet timmer- och massavedsbitar samt antal bearbetade träd. Föraren får också via mikrodatorn information om var kapsvärdet och toppklippen befinner sig, sorteringsbordets läge samt om sotkcens minidiameter underskrids. ",Utvecklat för att sitta i de egna maskinerna.,"103, 0, 204",2,"check article, eco-innvoation speculative"
7429001,2,,Barkningsmaskin. Maskinen består av två tråg som rymmer vardera 17 kubikmeter. När ett av trågen fylls börjar fyra skruvar att rotera. De är gängade åt var sitt håll och i och med att de snurrar går hela massan runt. ,Sparar arbetskraft och tid.,0,2,"check article, pretty sure it's biovision 2"
7435001,2,Doroplanter,"Hydraulisk, elektronisk planteringsmaskin för skogsbruk. Planteringsmaskinen bogseras av en vanlig skogstraktor (skotare eller lunnare). För markberedning har man framför varje planteringsorgan byggt in ett markberedningsaggregat. Planteringsorganen är upphängda på glidskenor, varför de vid plantering kan fixeras i marken medan aggregatet i övrigt rör sig frammåt. Ett planteringsspett gör hål i markberedningsfläcken och plantan leds via ett rör till planteringsspettet. När hålet är öppet delas spettet i två delar och plantan åker ner med hjälp av tryckluft. Därefter packas jorden runt plantan och planteringsspettet påbörjar ny plantering. Maskinen är den första i världen som kontinuerligt planterar under gång. ",Planterar kontinuerligt under gång. ,0,2,
7437001,2,,Hjälpmedel för påläggning av kätting på timmerbuntar. Tidigare kastade man kättingarna runt lassen och det är den metod som i de flesta fall tillämpas på de ställen där man buntar timmer som man tar från en landsortering. Att kasta kätting är ett tungt arbete. Med den nya metoden fästes kättingarna med ett enkelt handgrepp i griporgan som sitter på fällbara bommar. När dessa sedan körts till sitt övre läge är det klart för timmertrucken att köra in mot de hängande kättingarna som faller ned runt bunten när griporganen utlöses med en knapptryckning. Sedan återstår endast att koppla kättinglåsen. ,Arbetsskador vid manuell hantering av kättingar.,"112,204",2,check article
